model,point_idx,eps,delta,result,pred_class,ambiguous,solve_time_s,total_time_s,counterexample
20251030_112344_tiny_net_weights.json,4,0.05,0.1,unsat,1,2,0.0035758018493652344,0.00781702995300293,
20251030_112344_tiny_net_weights.json,4,0.1,0.0,unsat,1,3,0.01705789566040039,0.02130722999572754,
20251030_112344_tiny_net_weights.json,4,0.1,0.1,unsat,1,3,0.010273933410644531,0.014489173889160156,
20251030_112344_tiny_net_weights.json,4,0.2,0.0,sat,1,4,0.030958175659179688,0.03523612022399902,"[0.6020967705779168, -0.8127389010566808]"
20251030_112344_tiny_net_weights.json,4,0.2,0.1,sat,1,4,0.04588818550109863,0.05019998550415039,"[0.6155042448723278, -0.8127389010566808]"
20251030_112344_tiny_net_weights.json,5,0.02,0.0,unsat,1,0,0.007378816604614258,0.011407852172851562,
20251030_112344_tiny_net_weights.json,5,0.02,0.1,unsat,1,0,0.0077250003814697266,0.011931180953979492,
20251030_112344_tiny_net_weights.json,5,0.05,0.0,unsat,1,1,0.0032508373260498047,0.007476091384887695,
20251030_112344_tiny_net_weights.json,5,0.05,0.1,unsat,1,1,0.0031099319458007812,0.007200956344604492,
20251030_112344_tiny_net_weights.json,5,0.1,0.0,sat,1,1,0.003756999969482422,0.00810098648071289,"[0.09868172621334709, -0.38791404146009445]"
20251030_112344_tiny_net_weights.json,5,0.1,0.1,sat,1,1,0.003810882568359375,0.008460044860839844,"[0.09118787133180753, -0.38791404146009445]"
20251030_112344_tiny_net_weights.json,5,0.2,0.0,sat,1,3,0.008671998977661133,0.013181924819946289,"[0.20771320863110218, -0.5879421215379603]"
20251030_112344_tiny_net_weights.json,5,0.2,0.1,sat,1,3,0.005443096160888672,0.009834051132202148,"[0.05117150338659882, -0.2879140414600944]"
20251030_112344_tiny_net_weights.json,6,0.02,0.0,unsat,1,0,0.003256082534790039,0.007444858551025391,
20251030_112344_tiny_net_weights.json,6,0.02,0.1,unsat,1,0,0.003167867660522461,0.007344245910644531,
20251030_112344_tiny_net_weights.json,6,0.05,0.0,unsat,1,1,0.007927894592285156,0.012158870697021484,
20251030_112344_tiny_net_weights.json,6,0.05,0.1,unsat,1,1,0.007873058319091797,0.011940956115722656,
20251030_112344_tiny_net_weights.json,6,0.1,0.0,unsat,1,2,0.008016109466552734,0.012163162231445312,
20251030_112344_tiny_net_weights.json,6,0.1,0.1,unsat,1,2,0.008270263671875,0.012481927871704102,
20251030_112344_tiny_net_weights.json,6,0.2,0.0,sat,1,4,0.009604930877685547,0.013949155807495117,"[0.4590823609489196, -0.651598211281385]"
20251030_112344_tiny_net_weights.json,6,0.2,0.1,sat,1,4,0.024763822555541992,0.02906489372253418,"[0.31953238341464585, -0.651598211281385]"
20251030_112344_tiny_net_weights.json,7,0.02,0.0,unsat,0,0,0.003077983856201172,0.0071201324462890625,
20251030_112344_tiny_net_weights.json,7,0.02,0.1,unsat,0,0,0.0030159950256347656,0.007140159606933594,
20251030_112344_tiny_net_weights.json,7,0.05,0.0,unsat,0,1,0.0033102035522460938,0.0073201656341552734,
20251030_112344_tiny_net_weights.json,7,0.05,0.1,unsat,0,1,0.00327301025390625,0.00732874870300293,
20251030_112344_tiny_net_weights.json,7,0.1,0.0,sat,0,1,0.010585784912109375,0.014828205108642578,"[-0.26343272039532706, 0.5170017847450458]"
20251030_112344_tiny_net_weights.json,7,0.1,0.1,sat,0,1,0.010393142700195312,0.014729022979736328,"[-0.26343272039532706, 0.5357287588967237]"
20251030_112344_tiny_net_weights.json,7,0.2,0.0,sat,0,3,0.010323047637939453,0.014659881591796875,"[-0.36343272039532704, 0.6174490841480493]"
20251030_112344_tiny_net_weights.json,7,0.2,0.1,sat,0,3,0.005433082580566406,0.009803056716918945,"[-0.36343272039532704, 0.7528445820978998]"
20251030_112344_tiny_net_weights.json,8,0.02,0.0,unsat,0,0,0.003016948699951172,0.007247209548950195,
20251030_112344_tiny_net_weights.json,8,0.02,0.1,unsat,0,0,0.003064870834350586,0.007213115692138672,
20251030_112344_tiny_net_weights.json,8,0.05,0.0,unsat,0,1,0.003183126449584961,0.007174968719482422,
20251030_112344_tiny_net_weights.json,8,0.05,0.1,unsat,0,1,0.0031888484954833984,0.007197856903076172,
20251030_112344_tiny_net_weights.json,8,0.1,0.0,unsat,0,1,0.0031981468200683594,0.007169008255004883,
20251030_112344_tiny_net_weights.json,8,0.1,0.1,unsat,0,1,0.003243684768676758,0.007230043411254883,
20251030_112344_tiny_net_weights.json,8,0.2,0.0,sat,0,2,0.01373434066772461,0.01795220375061035,"[-1.2794110281433486, -0.5802752801655218]"
20251030_112344_tiny_net_weights.json,8,0.2,0.1,sat,0,2,0.013765096664428711,0.017985105514526367,"[-1.2877895484908617, -0.5802752801655218]"
20251030_112344_tiny_net_weights.json,9,0.02,0.0,unsat,1,0,0.0018887519836425781,0.005897998809814453,
20251030_112344_tiny_net_weights.json,9,0.02,0.1,unsat,1,0,0.0018999576568603516,0.006060123443603516,
20251030_112344_tiny_net_weights.json,9,0.05,0.0,unsat,1,0,0.0019240379333496094,0.006018877029418945,
20251030_112344_tiny_net_weights.json,9,0.05,0.1,unsat,1,0,0.001980304718017578,0.006003856658935547,
20251030_112344_tiny_net_weights.json,9,0.1,0.0,unsat,1,1,0.003156900405883789,0.007174015045166016,
20251030_112344_tiny_net_weights.json,9,0.1,0.1,unsat,1,1,0.0030791759490966797,0.00708460807800293,
20251030_112344_tiny_net_weights.json,9,0.2,0.0,sat,1,2,0.006442070007324219,0.010679960250854492,"[0.06740818221068812, -0.16490711420544585]"
20251030_112344_tiny_net_weights.json,9,0.2,0.1,sat,1,2,0.0064220428466796875,0.010624170303344727,"[0.06740818221068812, -0.16490711420544585]"
20251030_112344_wide_net_weights.json,0,0.02,0.0,sat,1,0,0.015621185302734375,0.025870084762573242,"[0.03797862937061631, -0.4679140414600944]"
20251030_112344_wide_net_weights.json,0,0.02,0.1,sat,1,0,0.015564918518066406,0.025933027267456055,"[0.029459897425899197, -0.4679140414600944]"
20251030_112344_wide_net_weights.json,0,0.05,0.0,sat,1,3,0.026425838470458984,0.036514997482299805,"[0.042582126979208115, -0.5379140414600945]"
20251030_112344_wide_net_weights.json,0,0.05,0.1,sat,1,3,0.03204202651977539,0.04221081733703613,"[0.07720376187669653, -0.43791404146009477]"
20251030_112344_wide_net_weights.json,0,0.1,0.0,sat,1,3,0.03743791580200195,0.047901153564453125,"[0.09060894876613611, -0.5879140414600944]"
20251030_112344_wide_net_weights.json,0,0.1,0.1,sat,1,3,0.03424715995788574,0.0444951057434082,"[0.037351607612056574, -0.5879140414600944]"
20251030_112344_wide_net_weights.json,0,0.2,0.0,sat,1,7,0.3029139041900635,0.31334829330444336,"[0.1513990482358987, -0.6680130273592468]"
20251030_112344_wide_net_weights.json,0,0.2,0.1,sat,1,7,0.29917192459106445,0.30951905250549316,"[0.0869861344672328, -0.639315076322084]"
20251030_112344_wide_net_weights.json,1,0.02,0.0,sat,1,2,0.010277271270751953,0.020389318466186523,"[1.052421921894646, 0.06200293089077938]"
20251030_112344_wide_net_weights.json,1,0.02,0.1,sat,1,2,0.006591796875,0.01674485206604004,"[1.052421921894646, 0.05677218215151285]"
20251030_112344_wide_net_weights.json,1,0.05,0.0,sat,1,2,0.015908002853393555,0.026175975799560547,"[1.0393443071531077, 0.02677218215151042]"
20251030_112344_wide_net_weights.json,1,0.05,0.1,sat,1,2,0.005383968353271484,0.015347957611083984,"[1.022421921894646, 0.02677218215151042]"
20251030_112344_wide_net_weights.json,1,0.1,0.0,sat,1,4,0.05948281288146973,0.06986427307128906,"[0.972421921894646, -0.023227817848489582]"
20251030_112344_wide_net_weights.json,1,0.1,0.1,sat,1,4,0.04067707061767578,0.05076289176940918,"[1.0715288783461656, 0.17677218215151042]"
20251030_112344_wide_net_weights.json,1,0.2,0.0,sat,1,7,0.22637581825256348,0.23671674728393555,"[1.0780035826692338, 0.27677218215151045]"
20251030_112344_wide_net_weights.json,1,0.2,0.1,sat,1,7,0.22294402122497559,0.23324990272521973,"[0.9875447622048036, -0.12322781784848959]"
20251030_112344_wide_net_weights.json,2,0.02,0.0,unsat,1,1,0.010483264923095703,0.020807743072509766,
20251030_112344_wide_net_weights.json,2,0.02,0.1,unsat,1,1,0.01023721694946289,0.0210878849029541,
20251030_112344_wide_net_weights.json,2,0.05,0.0,sat,1,4,0.11468100547790527,0.12593412399291992,"[0.14712477708815674, -0.7437081214487159]"
20251030_112344_wide_net_weights.json,2,0.05,0.1,sat,1,4,0.03587174415588379,0.04767894744873047,"[0.08810083689948561, -0.7437081214487159]"
20251030_112344_wide_net_weights.json,2,0.1,0.0,sat,1,5,0.03650259971618652,0.04750800132751465,"[0.11401065745118104, -0.7066806970033801]"
20251030_112344_wide_net_weights.json,2,0.1,0.1,sat,1,5,0.020750045776367188,0.03134512901306152,"[0.07845588300007494, -0.7412916316259112]"
20251030_112344_wide_net_weights.json,2,0.2,0.0,sat,1,7,0.0821681022644043,0.09410476684570312,"[0.04625138289065381, -0.5937081214487159]"
20251030_112344_wide_net_weights.json,2,0.2,0.1,sat,1,7,0.7069230079650879,0.7173199653625488,"[0.07900131750936248, -0.5937081214487159]"
20251030_112344_wide_net_weights.json,3,0.02,0.0,unsat,0,1,0.007374763488769531,0.017930984497070312,
20251030_112344_wide_net_weights.json,3,0.02,0.1,unsat,0,1,0.007255077362060547,0.0172119140625,
20251030_112344_wide_net_weights.json,3,0.05,0.0,sat,0,3,0.01540994644165039,0.025641918182373047,"[-0.20370559312178102, 0.5556590462984003]"
20251030_112344_wide_net_weights.json,3,0.05,0.1,sat,0,3,0.07150602340698242,0.08173394203186035,"[-0.213432720395327, 0.5295409308476425]"
20251030_112344_wide_net_weights.json,3,0.1,0.0,sat,0,5,0.057772159576416016,0.06820034980773926,"[-0.26343272039532706, 0.5436010968894639]"
20251030_112344_wide_net_weights.json,3,0.1,0.1,sat,0,5,0.08289384841918945,0.09404301643371582,"[-0.26343272039532706, 0.5436010968894639]"
20251030_112344_wide_net_weights.json,3,0.2,0.0,sat,0,9,0.4493257999420166,0.46027493476867676,"[-0.36343272039532704, 0.4530863567497175]"
20251030_112344_wide_net_weights.json,3,0.2,0.1,sat,0,9,1.2757413387298584,1.2862999439239502,"[-0.36343272039532704, 0.676646095832654]"
20251030_112344_wide_net_weights.json,4,0.02,0.0,unsat,1,0,0.0047490596771240234,0.015118122100830078,
20251030_112344_wide_net_weights.json,4,0.02,0.1,unsat,1,0,0.004857778549194336,0.015619039535522461,
20251030_112344_wide_net_weights.json,4,0.05,0.0,unsat,1,1,0.004621028900146484,0.014732837677001953,
20251030_112344_wide_net_weights.json,4,0.05,0.1,unsat,1,1,0.0048220157623291016,0.01489114761352539,
20251030_112344_wide_net_weights.json,4,0.1,0.0,sat,1,3,0.024399995803833008,0.034706830978393555,"[0.027889935887316114, -0.31450708790526444]"
20251030_112344_wide_net_weights.json,4,0.1,0.1,sat,1,3,0.05795097351074219,0.06809401512145996,"[0.027889935887316114, -0.44404147389414034]"
20251030_112344_wide_net_weights.json,4,0.2,0.0,sat,1,5,0.29037904739379883,0.3009200096130371,"[0.04866526156852052, -0.25648228249273947]"
20251030_112344_wide_net_weights.json,4,0.2,0.1,sat,1,5,0.23473095893859863,0.24524998664855957,"[0.019188344110151995, -0.3117265524603452]"
20251030_112344_wide_net_weights.json,5,0.02,0.0,unsat,1,1,0.010121822357177734,0.02032613754272461,
20251030_112344_wide_net_weights.json,5,0.02,0.1,unsat,1,1,0.009712934494018555,0.019936084747314453,
20251030_112344_wide_net_weights.json,5,0.05,0.0,unsat,1,2,0.00846719741821289,0.018294811248779297,
20251030_112344_wide_net_weights.json,5,0.05,0.1,unsat,1,2,0.008401870727539062,0.018368005752563477,
20251030_112344_wide_net_weights.json,5,0.1,0.0,sat,1,5,0.20842599868774414,0.21864986419677734,"[0.35908236094891954, -0.7838691652834906]"
20251030_112344_wide_net_weights.json,5,0.1,0.1,sat,1,5,0.017359018325805664,0.027886629104614258,"[0.15908236094891956, -0.7515982112813849]"
20251030_112344_wide_net_weights.json,5,0.2,0.0,sat,1,10,0.9972050189971924,1.007836103439331,"[0.1270220581060456, -0.651598211281385]"
20251030_112344_wide_net_weights.json,5,0.2,0.1,sat,1,10,0.8037078380584717,0.8141570091247559,"[0.43058469263199745, -0.7473850392773843]"
20251030_112344_wide_net_weights.json,6,0.02,0.0,unsat,1,1,0.007928133010864258,0.01809978485107422,
20251030_112344_wide_net_weights.json,6,0.02,0.1,unsat,1,1,0.00813913345336914,0.018159866333007812,
20251030_112344_wide_net_weights.json,6,0.05,0.0,unsat,1,1,0.007818937301635742,0.01779007911682129,
